observation_date,MHICO08013A052NCEN
1989-01-01,34200
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,41676
1994-01-01,
1995-01-01,46199
1996-01-01,
1997-01-01,50245
1998-01-01,54503
1999-01-01,56091
2000-01-01,58601
2001-01-01,57079
2002-01-01,55810
2003-01-01,57112
2004-01-01,57908
2005-01-01,58334
2006-01-01,62322
2007-01-01,64299
2008-01-01,66760
2009-01-01,63757
2010-01-01,62215
2011-01-01,68101
2012-01-01,66894
2013-01-01,71405
2014-01-01,71546
2015-01-01,72392
2016-01-01,74772
2017-01-01,80701
2018-01-01,83591
2019-01-01,88341
2020-01-01,88289
2021-01-01,90327
2022-01-01,96584
2023-01-01,97170
