observation_date,COBOUL3POP
1970-01-01,131.889
1971-01-01,140.800
1972-01-01,151.300
1973-01-01,159.500
1974-01-01,166.400
1975-01-01,166.700
1976-01-01,169.100
1977-01-01,178.100
1978-01-01,183.400
1979-01-01,187.100
1980-01-01,189.625
1981-01-01,195.705
1982-01-01,200.827
1983-01-01,206.440
1984-01-01,211.206
1985-01-01,213.942
1986-01-01,215.971
1987-01-01,218.024
1988-01-01,219.915
1989-01-01,223.507
1990-01-01,226.374
1991-01-01,232.846
1992-01-01,240.430
1993-01-01,247.405
1994-01-01,254.324
1995-01-01,259.520
1996-01-01,264.630
1997-01-01,270.744
1998-01-01,277.562
1999-01-01,285.901
2000-01-01,271.695
2001-01-01,278.917
2002-01-01,281.838
2003-01-01,282.148
2004-01-01,284.128
2005-01-01,285.640
2006-01-01,290.728
2007-01-01,295.004
2008-01-01,299.533
2009-01-01,302.224
2010-01-01,295.056
2011-01-01,300.045
2012-01-01,304.717
2013-01-01,309.538
2014-01-01,312.525
2015-01-01,318.408
2016-01-01,321.761
2017-01-01,323.019
2018-01-01,325.438
2019-01-01,326.020
2020-01-01,330.953
2021-01-01,327.133
2022-01-01,328.039
2023-01-01,328.419
2024-01-01,330.262
